Compound ID,Concentration (M),% Inhibition
1,0.0001,0.0280905825581084
1,0.0002,0.3069505460821762
1,0.0004,3.26372574544268
1,0.0006,12.039529287852847
1,0.0008,26.991113264652505
1,0.001,44.414337283741816
1,0.0012,59.99731835454031
1,0.0014,71.86491819658755
1,0.0016,80.20207179774937
2,0.0001,0.049254178462148065
2,0.0002,0.5370800443514884
2,0.0004,5.586413490090878
2,0.0006,19.357893926165122
2,0.0008,39.33381320582655
2,0.001,58.35608965318864
2,0.0012,72.45460622018146
2,0.0014,81.75062323948596
2,0.0016,87.66134039711208
3,0.0001,0.02965513173505649
3,0.0002,0.3239963037546274
3,0.0004,3.439304242004347
3,0.0006,12.625601310200794
3,0.0008,28.072725727178277
3,0.001,45.75656937224043
3,0.0012,61.29121233227366
3,0.0014,72.94802958333943
3,0.0016,81.04886636583298
4,0.0001,0.031232485860322342
4,0.0002,0.3411762113389745
4,0.0004,3.6156812568234242
4,0.0006,13.208634932950254
4,0.0008,29.131258512088014
4,0.001,47.04576598654963
4,0.0012,62.51367631679427
4,0.0014,73.958770979244
4,0.0016,81.83231676174857
5,0.0001,0.07427099461876356
5,0.0002,0.8078670856936104
5,0.0004,8.193282268175691
5,0.0006,26.581820896888715
5,0.0008,49.44188962800443
5,0.001,67.88267362560225
5,0.0012,79.86859243096816
5,0.0014,87.10774564368914
5,0.0016,91.46452516705277
6,0.0001,0.05779105699253798
6,0.0002,0.629635703136286
6,0.0004,6.492328382344682
6,0.0006,21.977202717921013
6,0.0008,43.207830779638336
6,0.001,62.18325644473865
6,0.0012,75.5294107109473
6,0.0014,84.0166542309584
6,0.0016,89.28959097799667
7,0.0001,0.07488616094019837
7,0.0002,0.8145088998856483
7,0.0004,8.255589175136963
7,0.0006,26.74323116025596
7,0.0008,49.64824147621462
7,0.001,68.06237862794912
7,0.0012,80.00099096206188
7,0.0014,87.20016433778743
7,0.0016,91.52874939221289
8,0.0001,0.026071783366140314
8,0.0002,0.28494790825239874
8,0.0004,3.036232367772096
8,0.0006,11.271606161225833
8,0.0008,25.54650021320171
8,0.001,42.58107822953178
8,0.0012,58.194244416445336
8,0.0014,70.33225364724699
8,0.0016,78.99080261510508
9,0.0001,0.04467389091635611
9,0.0002,0.4873566231858334
9,0.0004,5.093155264512651
9,0.0006,17.878933997011217
9,0.0008,37.02947021917128
9,0.001,55.96539557650123
9,0.0012,70.46362621150791
9,0.0014,80.24839026147025
9,0.0016,86.56570319729228
10,0.0001,0.07069001659784725
10,0.0002,0.7691880189866255
10,0.0004,7.828912652189508
10,0.0006,25.627962440313073
10,0.0008,48.20633710025782
10,0.001,66.7951207753051
10,0.0012,79.06171674604077
10,0.0014,86.54212834487204
10,0.0016,91.07045691444156
11,0.0001,0.05016156087269501
11,0.0002,0.5469251960226751
11,0.0004,5.683528375806693
11,0.0006,19.64460096025108
11,0.0008,39.770470482560995
11,0.001,58.79924554916592
11,0.0012,72.81761632874844
11,0.0014,82.02152332581029
11,0.0016,87.85753192861961
12,0.0001,0.06935879089505168
12,0.0002,0.7548021218896543
12,0.0004,7.692726701627717
12,0.0006,25.267033891936972
12,0.0008,47.73150610975619
12,0.001,66.37182594689286
12,0.0012,78.7450360805194
12,0.0014,86.31900751712215
12,0.0016,90.91453045087619
13,0.0001,0.035901403601109536
13,0.0002,0.3919966714836629
13,0.0004,4.134027833725917
13,0.0006,14.889780287664415
13,0.0008,32.08968386447425
13,0.001,50.52640983655994
13,0.0012,65.71847523951719
13,0.0014,76.55210879075463
13,0.0016,83.8131698728429
14,0.0001,0.02665441770702604
14,0.0002,0.2912988721801786
14,0.0004,3.101996780656993
14,0.0006,11.49460195909488
14,0.0008,25.96925123647769
14,0.001,43.122453757737055
14,0.0012,58.731083607569616
14,0.0014,70.79145751117095
14,0.0016,79.35532622721918
15,0.0001,0.042849536675569184
15,0.0002,0.4675389282227583
